Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,8,8,8,9,7,9,49
2nd,9,8,8,9,7,8,49
3rd,8,7,7,8,6,7,43
4th,8,8,8,8,7,8,47
5th,8,8,8,8,7,8,47
