Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,6,4,5,4,4,5,28
2nd,6,4,5,4,4,5,28
3rd,6,4,5,4,4,5,28
4th,6,4,5,4,4,5,28
5th,6,4,5,4,4,5,28
