Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,10,9,9,9,9,10,56
2nd,9,9,9,9,9,9,54
3rd,9,9,8,9,8,9,52
4th,9,9,9,9,8,9,53
5th,9,9,9,9,8,9,53
