Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,7,1,1,0,0,1,10
2nd,7,1,1,0,0,1,10
3rd,7,1,1,0,0,1,10
4th,7,1,1,0,0,1,10
5th,7,1,1,0,0,1,10
