Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,4,5,5,6,4,5,29
2nd,5,6,5,6,5,6,33
3rd,4,5,4,5,3,4,25
4th,5,6,5,5,5,6,32
5th,3,4,4,3,3,3,20
