Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,5,1,1,1,0,2,10
2nd,5,1,1,1,0,2,10
3rd,5,1,1,1,0,2,10
4th,5,1,1,1,0,2,10
5th,5,1,1,1,0,2,10
