Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,3,1,2,1,1,2,10
2nd,3,2,2,1,1,2,11
3rd,2,1,1,0,0,2,6
4th,0,0,0,0,0,0,0
5th,0,0,0,0,0,0,0
