Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,7,6,6,6,6,7,38
2nd,8,7,7,7,7,8,44
3rd,7,7,7,7,6,7,41
4th,7,6,6,6,6,7,38
5th,8,7,7,7,7,7,44
