Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,7,6,6,7,6,8,40
2nd,8,7,7,8,7,8,45
3rd,8,7,7,7,7,8,44
4th,8,7,8,7,7,8,45
5th,8,8,8,8,8,9,49
