Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,1,1,1,1,1,1,6
2nd,1,1,1,1,1,1,6
3rd,1,1,1,1,1,1,6
4th,1,1,1,1,1,1,6
5th,1,1,1,1,1,1,6
