Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,7,6,6,8,7,7,41
2nd,7,6,6,8,7,7,41
3rd,7,6,6,8,7,7,41
4th,7,6,6,8,7,7,41
5th,7,6,6,8,7,7,41
