Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,9,9,8,9,8,9,52
2nd,8,8,8,8,8,8,48
3rd,9,9,9,9,8,9,53
4th,8,8,8,9,8,8,49
5th,8,8,8,9,8,8,49
