Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,8,7,7,9,7,8,46
2nd,8,7,7,9,7,8,46
3rd,8,7,7,9,7,8,46
4th,8,7,7,9,7,8,46
5th,8,7,7,9,7,8,46
