Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,2,1,1,2,1,2,9
2nd,2,1,1,2,1,2,9
3rd,2,1,1,2,1,2,9
4th,2,1,1,2,1,2,9
5th,2,1,1,2,1,2,9
