Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,8,8,8,9,8,8,49
2nd,8,8,8,9,8,8,49
3rd,7,8,8,8,7,8,46
4th,8,8,8,9,8,8,49
5th,8,8,8,9,8,8,49
