Trial,Info,Scene,Logic,Flex.,Route,Clarity,Total
1st,9,9,9,10,9,9,55
2nd,9,9,9,10,9,9,55
3rd,9,9,9,9,8,8,51
4th,9,9,9,10,9,9,55
5th,9,9,9,10,9,9,55
